Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9,incrMonth4,incr2016,incr2015,incr2014,incr2013,incr3year,incr6year
DDD,3D Systems Corporation,8.37,938092449.87,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/ddd,,20.9,,,,,,
MMM,3M Company,140.49,86501510519.1,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmm,,0.38,,,,,,
WBAI,500.com Limited,18,754091694.0,n/a,2013,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/wbai,,6.64,,,,,,
WUBA,58.com Inc.,61.57,8571828719.62,n/a,2013,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/wuba,,10.75,,,,,,
AHC,A.H. Belo Corporation,5.01,107943180.45,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/ahc,,0.0,,,,,,
ATEN,"A10 Networks, Inc.",5.97,378114475.26,n/a,2014,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/aten,,0.65,,,,,,
AAC,"AAC Holdings, Inc.",18.11,405796402.21,n/a,2014,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aac,,-2.45,,,,,,
AIR,AAR Corp.,23.51,823875623.75,n/a,n/a,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/air,,5.22,,,,,,
AAN,"Aaron&#39;s,  Inc.",20.33,1475516859.33,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/aan,,6.43,,,,,,
ABB,ABB Ltd,16.31,36140248837.6,n/a,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb,,3.01,,,,,,
