,Symbol,Date,Open,High,Low,Close,Volume,Adj Close,changeprice,changepercent(%),rchangepercent(%)
139,TLN,2016-04-15,10.61,11.46,10.6,11.4,3209000,11.4,0.79,7.45,0.07
166,OLN,2016-04-15,17.65,18.91,17.6,18.860001,4058000,18.860001,1.21,6.86,0.07
345,FIT,2016-04-15,16.370001,17.450001,16.370001,17.200001,12372100,17.200001,0.83,5.07,0.05
395,DYN,2016-04-15,14.87,15.79,14.87,15.58,3994700,15.58,0.71,4.77,0.05
465,JOY,2016-04-15,17.870001,19.1,17.870001,18.66,3586300,18.66,0.79,4.42,0.04
655,FCX,2016-04-15,10.47,10.93,10.35,10.86,29350200,10.86,0.39,3.72,0.04
784,HUN,2016-04-15,14.0,14.48,13.77,14.46,5691700,14.46,0.46,3.29,0.03
786,CHS,2016-04-15,12.75,13.56,12.68,13.17,7557300,13.17,0.42,3.29,0.03
799,NRG,2016-04-15,13.22,13.8,13.15,13.65,4329200,13.65,0.43,3.25,0.03
806,X,2016-04-15,18.639999,19.33,18.48,19.24,13750600,19.24,0.6,3.22,0.03
9020,QEP,2016-04-15,14.69,15.08,14.46,14.56,3147700,14.56,-0.13,-0.88,-0.01
9555,F,2016-04-15,13.1,13.12,12.85,12.94,22531100,12.94,-0.16,-1.22,-0.01
10025,CYH,2016-04-15,19.77,19.889999,18.75,19.440001,2757300,19.440001,-0.33,-1.67,-0.02
10122,AMX,2016-04-15,15.63,15.66,15.34,15.35,2564800,15.35,-0.28,-1.79,-0.02
10187,BAC,2016-04-15,14.27,14.29,13.95,14.0,87080700,14.0,-0.27,-1.89,-0.02
10392,SC,2016-04-15,11.34,11.46,10.88,11.08,3352200,11.08,-0.26,-2.29,-0.02
10409,RDC,2016-04-15,15.84,15.84,14.86,15.47,7815500,15.47,-0.37,-2.34,-0.02
10659,DDD,2016-04-15,17.719999,18.15,17.0,17.15,7903600,17.15,-0.57,-3.22,-0.03
10709,SQ,2016-04-15,14.85,14.87,14.18,14.33,2404200,14.33,-0.52,-3.5,-0.04
10920,ESV,2016-04-15,10.59,10.59,9.45,9.9,97466200,9.9,-0.69,-6.52,-0.07
